"FSC"	"SSC"	"X..405..520.35"	"FSC.Width"
"1"	27795	12.2207305316932	30.741986930393	5568
"2"	42817	29.6556149115619	36.3893351664458	6592
"3"	20173	19.491979997095	10.6035590718898	5440
"4"	39311	112.025374969271	36.7697538586042	6528
"5"	17832	537.687307989381	20.1408200130866	6528
"6"	24623	11.2356485106409	96.4254988939211	5376
"7"	31710	25.3116416016524	45.9249127452709	6208
"8"	27279	17.7254059972455	93.0702831449964	5824
"9"	39027	68.1547444539034	62.855001884971	6912
"10"	34181	43.4083464072186	38.5260420687772	6272
"11"	30002	26.2683983607865	38.4503150249391	6080
"12"	16828	285.714720928052	19.9100461011411	6784
"13"	18439	24.0662648272942	4.24371863726822	7104
"14"	25508	29.3405507510224	38.9835466301914	5696
"15"	23940	14.1360993847241	57.5210307973446	5376
"16"	29487	14.8843369231134	74.151029913986	5696
"17"	19724	12.8657774611979	28.9880657885865	5248
"18"	30241	25.4257303902294	29.4479573729593	6144
"19"	20322	15.8605185720968	48.5191390535925	5248
"20"	39757	314.58767174286	104.057394943482	7168
"21"	12205	188.428453780909	16.8201582750869	7040
"22"	23713	14.8488183535269	41.4994166723256	5696
"23"	19228	18.9251170486662	62.2484322402341	5376
"24"	13922	102.547550950258	15.9051615978982	6720
"25"	36277	106.274292557932	35.3211364098624	6336
"26"	27170	35.0048658769949	44.090816815389	6336
"27"	34284	26.8657654439631	104.658713182366	6336
"28"	14866	282.044336092997	10.3372327987575	6912
"29"	42251	140.21340976516	58.2777706116874	6656
"30"	30269	23.7637802312416	33.7963367571975	5952
"31"	15100	212.964936662268	12.7022845086259	6912
"32"	20552	8.59779739843073	22.1979810628946	5120
"33"	23017	29.7599921625413	25.9382355405843	6208
"34"	23524	18.2948604689434	43.3291116601744	5504
"35"	24107	12.743409660493	27.6899248668735	5760
"36"	20624	17.2099182988591	46.9890938778496	5248
"37"	25634	29.1719741674869	103.140144227966	5952
"38"	21469	17.0366529802129	15.7538858859981	5504
"39"	21329	18.1923036100041	36.6923219350903	5632
"40"	15845	182.255713720112	12.6630716004471	6464
"41"	24168	13.4405787175618	35.9319640942234	5504
"42"	29209	21.2815340214806	19.8346397258605	5952
